id	review
Promised Land	People have been smoking cigarettes for years, and it is only relatively recently that the link between smoking tobacco and  cancer has been publicly acknowledged.  Imagine if we had put some serious impartial research into the dangers of cigarettes in 1912 when American Dr. Isaac Adler made the link between lung cancer and tobacco, many lives would have potentially been saved.  People have been smoking cigarettes for years, and it is only relatively recently that the link between smoking tobacco and  cancer has been publicly acknowledged.  Imagine if we had put some serious impartial research into the dangers of cigarettes in 1912 when American Dr. Isaac Adler made the link between lung cancer and tobacco, many lives would have potentially been saved.  green zone is just the bypass needed when being targeted due to being correct and having to hold the position of a native american and those who work for oneself!  bernzeppi...r u a U.S. citizen? did you know by definition this is a naturalised person...knot a native north americas human being! "too many people standing their ground...standing the wrong ground"! {john trudell..."crazy horse"} please have a listen and roperly situate oneself! You forgot green zone moi! hmmm~~~"hardened gas man" genius goodwill bourne hereafter t.a.b. and what native natural position for whose north american continent?~~~~~~~~~ i could indicate more yet most likely just many of the damned catching up with the truth! It must be something(chinatown) in the Colorado water. Lol?! This Trailer is Great Movie. No, #really, wrote on from multiple media arising interests. So I checked it out here, first. And hog wallowed the crazy off comments. Personally, disenchanted easily, but has some draw! Hard to say 'no'; straight down to earth current vernacular news current issues hoopla agenda. Bound for political awareness and action to remedy. XD. Freaking Fracing did start in the 1940's when the One world island Pangea Combusted from earth quake and CHANGEd Melting from unknown science; and Movies where evolving from the historical American Musical into the TVpipeline...! whats the opening instrumental song? But you would rather see american children die from drinking contaminated water? You make no sense you liberal piece of trash!! There is only one place in the world where fracking hurts, and thats because of the unique geological features of it.  Wow, nice comment. Let me ask you, about opec. Are those countries in good shape? Is saudi arabia in any kind of shape? Because of asshats like you, who won't let you drill you're own damn land their eight year old little girls get raped and murdered over western oil. "Well that's not true at all" Shut up, it is.  I've seen horrible things happen in those countries because of us and eu oil contracts. Hell this fifteen year iraq war is because of those godamn resource treaties.  Hmmm... double hmmmm...I'm pretty sure we all see the 'twist' coming, without it there is no point in watching the movie.Dov S 'Greatest film educator in the whole world' Simmons put it this way: "In any movie, you know the outcome in the first 10 minutes, if you don't you ain't watching the movie. Once established it is the film-makers job to make you doubt that outcome"Based on this trailer, I really wanna see it because I want to believe that a hardened gas-man has a heart and can change. Of Monsters and Men in the soundtrack means instant win! :DWell, not necessarily, but it's cool to hear... So, you liked it? ;) True, but in point of fact, the method currently utilized was pioneered in the 1990s. This was one of the most ponderous pieces of agitprop I have ever had the misfortune to endure. Recently, I've seen two movies that were over three hours long and combined they felt shorter than this dismal dog turd. Imagine the most boring, interminable sermon you have ever witnessed and you'll have a good idea what this film felt like. And the plot "twist" is a classic example of telegraphing the pass. Only audience members with the IQ of plankton won't see it coming. You work for them, that's why. You will burn in hell no matter if you want to deny you are destroying the earth and hurting people or not. God can read your mind and subconscious, you cannot hide your atrocities from him.
A Quiet Day in Belfast	were can i get copie of this film What the actual fuck! awful stereotypical nonsense with bad NI accents...
Act of Vengeance	who is doing the narration? sounds like charles aidman. Trailer gave it little justice, besides the acting being a tad lame. It was really a good movie. Not at brutal as I spit on your grave, but then again, not much is. Feminists are needing to see this film That was an amazing karate kick. Which in a real fight  would have knocked out your opponent. You can find it for sale at certain places online....Hint!  it's streaming on netflix Wouldn't it be better if you will let us see the whole movie? we're not gonna find a movie from the 1970's in a video rent Haha rape squad RATED R!!! Of course you loved it. Cause I'm the BEST! Charlie's Angels VS Jason He join in going 'girl look at dat body, girl look at dat body.  Wiggle wiggle wiggle wiggle wiggle'  XD I hate Xmas!  If she'd sang "I'm sexy and I know it" the guy would've left her alone and started dancing instead. Just Sing JINGLE BELLS! dude thanks for the trailer! i recently picked up the US HBO clam VHS of this and now Im really psyched to watch it lol. I definitely saw this in the U.K. under it's "The Violator" title in 1976/1977 but is this the film where he whistles or sings "Jingle Bells" during one of his attacks? I'm sure I've seen a trailer for Abel Ferra's Angel of Vengeance/Ms45 under the title Rape Squad. Think it was either on an old Aussie Cannibal Apocalypse or Zombie Creeping Flesh VHS @jamessmedley82 I have to agree with you. Women that are that gorgeous when they're younger, stay that gorgeous. She was uber fine then and I'll bet she still is! I'd love to see what she looks like today. There just isn't that much out there, that I can find? cheesy @IAMSATAN8 Can definitely tell you have seen this movie.  Yes, great watching!
Reflections of Murder 	strange film x pretty good movie . I like the remake with Melissa Gilbert Good movie...thanks for posting. Didn't anyone here see "Les Diaboliques"? RIP Joan Hackett. I want to shake her and say WAKE THE FUCK UP YOU DUMBASS! Gah, this woman on here is a freaking IDIOT!!!! This is simply a wretched rehash of the great film "Diabolique" from 1955. Has all the same markings, the overbearing husband, the tough 'other woman,' the twist-ending...Great stuff for riffing... Thanks for posting. Terrific performance from Ms. Hackett. weak endingyes joan hackett has a passing resemblance to julie andrews...just more refined features great movie! the new one the women woke from the dead Come On...Apologize...NO...U Go Claire! That Boys Cool...Perhaps He Should Help Kill The Bloody Bastard... Splendid Song At 10:55...Was Also Played In Story I Of The 1975 Classic Film:Trilogy Of Terror...
The Return of the Pink Panther 	Why wouldn't they show the Pink Panther diamond in all the films? my favourite pink panther movie by a mile love it One of the last memories I have of my grandfather is sitting in the living room watching this film with him during a Pink Panther marathon... 01:48 :))))) Untill we meet again casa solved,brilliand peter sellers comedy is not like it used to be back in the day. The robbery scene at the start is superbly staged. Sellers is hilarious as usual. AWESOME
Road Movie	uffffff yar ab to Bollywood pehle jese movies chor deya he is movie ke to trailer b poora nahi deksaka what rubbish
S*P*Y*S	awful awful awful movie Surprisingly good spy comedy with just enough plot-driven action and excitement to keep it interesting. Excellent dialogue, some great oneliners, all held together by the chemistry and charisma of Sutherland and Gould. In my opinion a worthy successor to MASH. The voice-over is supposed to remind us of Radar O'Reilly? The pee-pee comb!! You are truly a dumbass. @Flodderinbelgie It's a parody of the PA announcer from M*A*S*H. I saw this over summer vacation when I was ten years old at the local matinee, tickets were $1.  Didn't remember anything about this film except the scene where they went dance down the road.   @Zeanu the narration is a ripoff/homage to the tannoy announcements from MASH.  If you've ever seen that one, you might remember the final credits were done that way. I think they were trying to evoke memories of that, much in the way that they put the asterisks/bullet holes between the letters of the titles. If Gould and Sutherland were gonna make crap like this,they should have taken the TV roles in the series M*A*S*H. Not only Gould's an accomplished actor-to say the least-, he is a VERY sweet guy. i found the tape of trouble with spies for five bucks a couple years back. if i can ever get the hang of uploading stuff i'll have to put that movie on here. this is my favorite movie.
The Savage Is Loose 	FULL MOVIE: http://www.mediafire.com/download/xrots3b4kiso80u/The+savage+is+loose+%281974%29.avi He fucks his mother at the end. How nice! They should have killed the boy and eat him The boy has never seen any other woman except his mother; he becomes a man and starts feeling  natural things a man feels. It's just too bad that his mother is the only woman present yes it does. I saw this movie a very long time ago, and have never forgotten. It causes you to think. It was a neat movie.   what was wrong with the movie?
Scream of the Wolf 	great movie the arness boys should, at least,done some pushups. Oh, boy!  I've been waiting for years to catch up to this movie, hope it meets my expectations. This movie shows Clint Walker was a much better actor than he was ever given credit for. It's a pity, Clint Walker would've been great if he had been a real werewolf instead of some big guy pulling our leg.  They should've cast Walker in another film where he did get to play an actual werewolf to make up for this disappointing film. Maybe a recurring role in the 1980's Fox tv series WEREWOLF... If Clint Walker is a werewolf that going to be one huge beast. Sounds like the "Beast" is old Clint. He did get bite by a wolf and almost died. Just 30 minutes in hahhaha This is the Nature of you white edomite Crackkas Warning : This movie was made with real actors and not a bunch of CGI crap! The killer was actually 'ManBearPig'....... Shape shifter is a well known Native American phenomenon! Don't like it when (Clint ) plays the heavy!  He was good however!! Hard to see details in those dark scenes at 240p but free is free. Well I love Clint Walker but his character was just plain creepy in this movie. love the old movies thanks Interesting movie with a surprise ending.  Nice to see Peter Graves staying active after "Mission Impossible" ended on tv.  Here's a scene that will show why one should never skimp on the cost of silver bullets when hunting werewolves by using the cheaper lead ones:  41:55 22:30 The guy has a good point. Look at all the redneck scum these days who glorify their "hunting" escapades on this site. Trophy hunters have never been the good guys. The overall tone of this movie isn't pro-hunting, especially the ending. Clint Walker.
Le Sex Shop 	Is that Chanel Oberlin from scream queens? Idk she reminds me of her haha Wow she's hot! I was laughing at the end. Deym. SPONGEBOB?! The trailer song is HIGHS - Nomads..... :-) :) Is that the possessive girlfriend youtube girl? Im only gonna watch this movie because its with Evan and Emma together. Is it already available on DVD? It is, right? once upon a time, I was obsessed with 80's movies/actors. John Cusack being one of my favorites. I wanted to see this movie so bad! But I was "too young to watch a movie like that". I eventually got over the 80's (I still love the movies and all, im just not obsessed) and was not dying to see this. Now, here I am over a year later. Obsessed with American Horror Story- dying once again to see this movie.I WILL FIND IT ONE DAY!!!!! AND I WILL WATCH IT!!!! AND IT WILL BE MAGICAL!!!!! WHERE CAN I WATCH THIS . I Love this movie <3 what is the name of the song ? pls Where can I find this? American Sex Story? HAHAH. Omg, I wanna watch this. Emma Roberts* my bad  Ironic that Evan Peters and Emma stone would star in a movie together after the AHS series :P i want to see this!
Shoot It Black, Shoot It Blue 	this video seems much better quality than the original even the young black kid in the movie looks kinda cute
The Sister-in-Law 	please upload the whole movie Tv video Full movie pls ? I know the whole movie on this trailer of sister-in-law my sister-in-law also so trouble daughter-in-law to my parents & a bad sister-in-law to me & to my sister too. Seem to have issed this comment, sorry about that. Maybe you've already seen it, but in any case: the movie can be found here to the right on "moviemanfitnessfan"'s channell (Three parts).I hope that version is sufficient :) I remember watching this movie growing up!  I have a request.  Can you show the whole movie The Sister In Law on youtube?  It was an interesting movie to watch!
Space Is the Place 	hol up I've got to see this movie!!! LOL
Spasmo 	LOVE this film! It's not the best, but it's unique and I watch it every so often. Red herrings galore. Not your typical giallo.
Stavisky...	Le grand Charles Boyer est merveilleux dans "Stavisky." que churrasoooo
Steppenwolf	cannot ever portray this in a movie it doesn't even fit the proper "mood" of the book, that's what I was referring to. NIEN! (in captial letters) No thanks, I rather take a nap than to squander away hours of my life I will never get back watching this so call "book to movie adaptation".I mean just look at this trailer, its wayy too bright for starters and it looks like crap! nope, can't be bothered too busy staring into the i-phone, to even look up for an  o second. -today's modern attitude.I've read the book obviously, I pay attention and listen only if I am being addressed and the speaker is establishing basic fundamental basic human interaction, such as looking at the person they are talking to. Personally I've seen more of these basic interaction from chimps and monkeys more than from ppl. Hermann Hesse - "In fear I hurried this way and that. I had the taste of blood and chocolate in my mouth, the one as hateful as the other." One of my favorite quotes of his. Was also happy to hear it in one of my fav movies Blood and Chocolate.  @tommybarresi Saw both this one and "Siddartha" in rep theaters back in the 70s when they were often run as a double bill.  "Steppenwolf" was easily the best of the two adaptations.  "Siddartha" was very pretty (in a postcard way) but Steppenwolf  far more innovative.  I'm also a big fan of 1960s underground and experimental films that many of the techniques used here were inspired by. It looks dreadful. The book is sublime this is ridiculous @tommybarresi I guess you have to be high on something to enjoy the movie!  @barbabietolaspaziale Then why did they even give it the same name as the book!! Just ridding off of the success of the book no doubt! This movie looks so stupid compared to the book. It looks like somebody took one too many hits of acid when they made this movie, just the trailer looks crappy already no where the type of mode that the book was situated in the first place.  @teargas500  so true. or they say "it's dated". Like WHAT is not?  It's an experimental fine film. some flaws of its time, yes, but GREAT. hmm i can't see anything to remind me the book from this trailer.. i love the book, read it several times.
The Strange and Deadly Occurrence 	OMG, that's "Robert Stack" from the amazing show: Unsolved Mysteries from back in the day! Right? Didn't y'all recognize him? Well, I sure did I'm just saying. Lol. :) Ok, I gotta go get back to the movie 'cuz I just started watching it. See ya & have a blessed day. :) It's a good thing dad didn't notice that the heat was on when the windows were open.  That would have really been horrifying!!!  :) John Jacob..... Jingleheimerschmidt! Bet he got teased in school for that! Hence the.....issues. omg it's Stan Zbornak! I knew he looked familiar lmao.. the dad looks like Tony Goldwyn good movie AWESOME UPLOAD CLASSIC REPRESENTED IN THE FINEST WAY!!!THANKS!!! Good ol Robert stack always  had a facial expression like someone had thrust a bowling ball up his ass......................... Thank you for the light entertainment. I appreciate your time and work. :) Thank you for uploading this movie.  I am watching it while I update some websites.  I like this Dad because he's doing what a real Dad would do, especially when he says at 43:04 "Okay, get your sleeping bag and put it in our room".  That's great because that's what a real dad, who is caring and protective, would do.  I agree with "Seeking Pathways" comment.  A realistic movie with a kind and loving family. "It's not nice to fool Mother Nature" is in this A damn fine last 15 minutes! I liked this movie! Robert Stack talking about his shrinkage ROFL! ok movie thank you. 19:05 Vera Miles was a total Milf in this film. thanks! new title for movie...."the unsolved mystery"...lol michael I'm a genius with coke bottle glasses .
