Movie,Reaction
Joseph Andrews ,"{'neg': 0.088, 'neu': 0.7382500000000001, 'pos': 0.17375, 'compound': -0.02259999999999998}"
The Mouse and His Child ,"{'neg': 0.04996296296296297, 'neu': 0.7564074074074075, 'pos': 0.19359259259259257, 'compound': 0.15749629629629627}"
Barry Lyndon ,"{'neg': 0.010083333333333333, 'neu': 0.7655, 'pos': 0.22441666666666668, 'compound': 0.2418916666666667}"
Hester Street ,"{'neg': 0.051871794871794864, 'neu': 0.7246666666666668, 'pos': 0.22343589743589748, 'compound': 0.2723205128205128}"
Caddie ,"{'neg': 0.00375, 'neu': 0.7593333333333335, 'pos': 0.23691666666666666, 'compound': 0.3429166666666667}"
Mahogany ,"{'neg': 0.011166666666666667, 'neu': 0.6221666666666666, 'pos': 0.3666666666666667, 'compound': 0.4835333333333333}"
An American Christmas Carol ,"{'neg': 0.09366666666666666, 'neu': 0.6839047619047619, 'pos': 0.22245238095238096, 'compound': 0.23193333333333332}"
"It's Your First Kiss, Charlie Brown ","{'neg': 0.18480769230769228, 'neu': 0.7434615384615386, 'pos': 0.07165384615384615, 'compound': -0.16098461538461542}"
"Aloha, Bobby and Rose ","{'neg': 0.023149999999999997, 'neu': 0.8449000000000002, 'pos': 0.13195, 'compound': 0.17}"
Double Exposure ,"{'neg': 0.0268, 'neu': 0.907, 'pos': 0.06620000000000001, 'compound': 0.10646}"
The Amazing Dobermans ,"{'neg': 0.11800000000000001, 'neu': 0.5240833333333333, 'pos': 0.19133333333333336, 'compound': 0.07845833333333335}"
The Kingfisher Caper ,"{'neg': 0.08333333333333333, 'neu': 0.6616111111111111, 'pos': 0.25505555555555554, 'compound': 0.2783388888888889}"
Planet of Dinosaurs ,"{'neg': 0.04672222222222222, 'neu': 0.6448333333333334, 'pos': 0.30850000000000005, 'compound': 0.3577666666666667}"
Quintet ,"{'neg': 0.1191904761904762, 'neu': 0.7335238095238096, 'pos': 0.14733333333333332, 'compound': 0.12030476190476191}"
Nashville Girl ,"{'neg': 0.0, 'neu': 0.8305, 'pos': 0.1695, 'compound': 0.31245}"
A Different Story ,"{'neg': 0.039857142857142855, 'neu': 0.649952380952381, 'pos': 0.31004761904761907, 'compound': 0.4165619047619047}"
Spider-Man Strikes Back ,"{'neg': 0.05475, 'neu': 0.82225, 'pos': 0.123, 'compound': 0.049125}"
Pretty Baby ,"{'neg': 0.1305, 'neu': 0.729, 'pos': 0.14049999999999999, 'compound': 0.04363333333333336}"
The Evictors ,"{'neg': 0.1068095238095238, 'neu': 0.7906190476190477, 'pos': 0.10257142857142856, 'compound': -0.026733333333333314}"
Melody in Love ,"{'neg': 0.04794117647058823, 'neu': 0.7914705882352941, 'pos': 0.1605294117647059, 'compound': 0.1710588235294118}"
Vigilante Force ,"{'neg': 0.1085, 'neu': 0.6375, 'pos': 0.254, 'compound': 0.06735000000000002}"
The Disappearance of Aimee ,"{'neg': 0.08594871794871795, 'neu': 0.6995384615384614, 'pos': 0.21456410256410252, 'compound': 0.2529282051282051}"
Circle of Iron ,"{'neg': 0.0, 'neu': 0.734, 'pos': 0.266, 'compound': 0.4574}"
Janis ,"{'neg': 0.10875, 'neu': 0.68625, 'pos': 0.20493750000000002, 'compound': 0.18882500000000002}"
Cria Cuervos ,"{'neg': 0.038, 'neu': 0.8084117647058824, 'pos': 0.15358823529411766, 'compound': 0.14701764705882356}"
Slumber Party ,"{'neg': 0.0, 'neu': 0.8383333333333334, 'pos': 0.16166666666666665, 'compound': 0.28046666666666664}"
The Runaway Barge ,"{'neg': 0.027733333333333336, 'neu': 0.7822666666666667, 'pos': 0.18993333333333334, 'compound': 0.27362}"
Le Crabe-Tambour ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
A Fire in the Sky ,"{'neg': 0.11095, 'neu': 0.6987, 'pos': 0.19030000000000005, 'compound': 0.07363}"
Providence ,"{'neg': 0.08624999999999998, 'neu': 0.7977000000000001, 'pos': 0.11605000000000001, 'compound': 0.14465000000000003}"
Le trio infernal ,"{'neg': 0.0, 'neu': 0.4215, 'pos': 0.5785, 'compound': 0.7089}"
A Hero Ain't Nothin' But a Sandwich ,"{'neg': 0.054142857142857145, 'neu': 0.7984285714285715, 'pos': 0.076, 'compound': 0.07050714285714287}"
Won Ton Ton ,"{'neg': 0.0715, 'neu': 0.8521666666666666, 'pos': 0.07633333333333334, 'compound': 0.008400000000000003}"
The Stepford Wives ,"{'neg': 0.1636875, 'neu': 0.6864374999999999, 'pos': 0.1498125, 'compound': -0.03133749999999999}"
Walking Tall Part II ,"{'neg': 0.0, 'neu': 0.8743333333333333, 'pos': 0.12566666666666668, 'compound': 0.24766666666666667}"
Foul Play ,"{'neg': 0.07869565217391304, 'neu': 0.725695652173913, 'pos': 0.19547826086956524, 'compound': 0.22011739130434785}"
Herbie Goes to Monte Carlo ,"{'neg': 0.07021052631578946, 'neu': 0.8093684210526316, 'pos': 0.12042105263157896, 'compound': 0.19027368421052634}"
The Last Dinosaur ,"{'neg': 0.016875, 'neu': 0.668125, 'pos': 0.19012500000000002, 'compound': 0.21982500000000005}"
Harper Valley P.T.A. ,"{'neg': 0.010470588235294117, 'neu': 0.6462941176470588, 'pos': 0.34329411764705886, 'compound': 0.45768823529411773}"
The Trial of Lee ,"{'neg': 0.1095, 'neu': 0.7848484848484849, 'pos': 0.1056818181818182, 'compound': -0.07924090909090913}"
Mind Over Murder ,"{'neg': 0.04275, 'neu': 0.8776666666666667, 'pos': 0.07958333333333333, 'compound': 0.09235}"
Mamoen ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Lipstick ,"{'neg': 0.06442857142857143, 'neu': 0.8445714285714285, 'pos': 0.091, 'compound': 0.015600000000000011}"
And I Alone Survived ,"{'neg': 0.19893103448275862, 'neu': 0.6968965517241381, 'pos': 0.10420689655172415, 'compound': -0.22673793103448278}"
Dolemite ,"{'neg': 0.05966666666666667, 'neu': 0.8397222222222221, 'pos': 0.10061111111111112, 'compound': 0.13541666666666666}"
Going in Style ,"{'neg': 0.05958333333333332, 'neu': 0.6618333333333334, 'pos': 0.27858333333333335, 'compound': 0.24448333333333336}"
Three Days of the Condor ,"{'neg': 0.0, 'neu': 0.7725, 'pos': 0.2275, 'compound': 0.6309}"
Suspiria ,"{'neg': 0.10752631578947369, 'neu': 0.7106315789473685, 'pos': 0.18189473684210525, 'compound': 0.1163684210526316}"
First Love ,"{'neg': 0.07100000000000001, 'neu': 0.7568461538461537, 'pos': 0.17215384615384616, 'compound': 0.35025384615384614}"
Caddyshack ,"{'neg': 0.0, 'neu': 0.453, 'pos': 0.547, 'compound': 0.6657666666666666}"
Hong quan xiao zi ,"{'neg': 0.067, 'neu': 0.3305, 'pos': 0.6025, 'compound': 0.5811}"
India Song ,"{'neg': 0.044833333333333336, 'neu': 0.755, 'pos': 0.2001666666666667, 'compound': 0.14780000000000001}"
The Blues Brothers ,"{'neg': 0.05994444444444444, 'neu': 0.5669444444444444, 'pos': 0.3731111111111111, 'compound': 0.4087666666666667}"
You Light Up My Life ,"{'neg': 0.05085714285714285, 'neu': 0.8364761904761906, 'pos': 0.11266666666666666, 'compound': 0.06985238095238096}"
The Missouri Breaks ,"{'neg': 0.0982, 'neu': 0.72215, 'pos': 0.17965, 'compound': 0.12991000000000003}"
Shatter ,"{'neg': 0.14990476190476193, 'neu': 0.6589999999999999, 'pos': 0.1910952380952381, 'compound': -0.04386666666666668}"
The Child ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Blackout ,"{'neg': 0.16399999999999998, 'neu': 0.6278, 'pos': 0.2082, 'compound': 0.17148000000000002}"
The Wanderers ,"{'neg': 0.048999999999999995, 'neu': 0.762, 'pos': 0.18899999999999997, 'compound': 0.12796666666666665}"
A Little Romance ,"{'neg': 0.0, 'neu': 0.5175, 'pos': 0.48250000000000004, 'compound': 0.6341}"
Sasquatch ,"{'neg': 0.19528571428571428, 'neu': 0.6985238095238095, 'pos': 0.1060952380952381, 'compound': -0.11973333333333332}"
The Town That Dreaded Sundown ,"{'neg': 0.1565, 'neu': 0.6711874999999999, 'pos': 0.1724375, 'compound': -0.08274999999999999}"
Man Friday ,"{'neg': 0.044, 'neu': 0.7213478260869565, 'pos': 0.2346521739130435, 'compound': 0.23960434782608697}"
The President's Mistress ,"{'neg': 0.163, 'neu': 0.7035, 'pos': 0.133, 'compound': -0.05645}"
Truck Turner ,"{'neg': 0.03154545454545454, 'neu': 0.7978181818181818, 'pos': 0.17063636363636364, 'compound': 0.27647272727272726}"
The Europeans ,"{'neg': 0.050833333333333335, 'neu': 0.7323333333333334, 'pos': 0.21683333333333332, 'compound': 0.24734444444444448}"
For the Love of Benji ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Young Frankenstein ,"{'neg': 0.042769230769230775, 'neu': 0.8500000000000001, 'pos': 0.10730769230769233, 'compound': 0.16060769230769234}"
Grease ,"{'neg': 0.028900000000000002, 'neu': 0.6800999999999999, 'pos': 0.291, 'compound': 0.49399}"
The Onion Field ,"{'neg': 0.1763913043478261, 'neu': 0.6848478260869565, 'pos': 0.09528260869565218, 'compound': -0.13385652173913043}"
The Zebra Force ,"{'neg': 0.0, 'neu': 0.71, 'pos': 0.29, 'compound': 0.42115}"
Boardwalk ,"{'neg': 0.10938095238095241, 'neu': 0.7326190476190477, 'pos': 0.15795238095238093, 'compound': 0.1382857142857143}"
Noi non siamo angeli ,"{'neg': 0.293, 'neu': 0.707, 'pos': 0.0, 'compound': -0.3595}"
Code Name ,"{'neg': 0.1495217391304348, 'neu': 0.7307826086956524, 'pos': 0.1196521739130435, 'compound': -0.23978260869565216}"
The Jericho Mile ,"{'neg': 0.08714814814814814, 'neu': 0.7345925925925926, 'pos': 0.17825925925925928, 'compound': 0.1775888888888889}"
California Dreaming ,"{'neg': 0.1366, 'neu': 0.564, 'pos': 0.2994, 'compound': 0.50518}"
Dixie Dynamite ,"{'neg': 0.026470588235294114, 'neu': 0.6769411764705882, 'pos': 0.2965882352941177, 'compound': 0.27346470588235294}"
Short Eyes ,"{'neg': 0.06665625, 'neu': 0.6946249999999999, 'pos': 0.23868750000000005, 'compound': 0.18482187499999997}"
I Will Fight No More Forever ,"{'neg': 0.082, 'neu': 0.918, 'pos': 0.0, 'compound': -0.5095}"
Dracula ,"{'neg': 0.17757692307692305, 'neu': 0.7146923076923077, 'pos': 0.10776923076923077, 'compound': -0.09106923076923078}"
All That Jazz ,"{'neg': 0.037680000000000005, 'neu': 0.7880400000000001, 'pos': 0.17427999999999996, 'compound': 0.297944}"
Exorcist ,"{'neg': 0.12390000000000001, 'neu': 0.68165, 'pos': 0.1444, 'compound': -0.09120500000000001}"
Silent Movie ,"{'neg': 0.14781481481481482, 'neu': 0.6921851851851853, 'pos': 0.16, 'compound': -0.041251851851851845}"
Sweeney 2 ,"{'neg': 0.138, 'neu': 0.68708, 'pos': 0.17495999999999998, 'compound': 0.043600000000000014}"
J.D.'s Revenge ,"{'neg': 0.12225, 'neu': 0.7385, 'pos': 0.1395, 'compound': 0.126575}"
Sky Riders ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Thunder and Lightning ,"{'neg': 0.0, 'neu': 0.308, 'pos': 0.692, 'compound': 0.6696}"
Phantasm ,"{'neg': 0.12339393939393939, 'neu': 0.7091515151515151, 'pos': 0.16742424242424245, 'compound': -0.04023030303030304}"
Salem's Lot ,"{'neg': 0.09206451612903224, 'neu': 0.8080645161290322, 'pos': 0.09990322580645163, 'compound': 0.04430645161290323}"
Stroszek ,"{'neg': 0.15988888888888889, 'neu': 0.7825555555555556, 'pos': 0.057555555555555554, 'compound': -0.058311111111111105}"
The 'Human' Factor ,"{'neg': 0.043666666666666666, 'neu': 0.46799999999999997, 'pos': 0.48833333333333334, 'compound': 0.2971}"
Disco Godfather ,"{'neg': 0.058473684210526324, 'neu': 0.8346315789473684, 'pos': 0.10689473684210526, 'compound': 0.13376842105263156}"
Sweet Hostage ,"{'neg': 0.0, 'neu': 0.283, 'pos': 0.717, 'compound': 0.9713}"
The Eagle Has Landed ,"{'neg': 0.06644444444444444, 'neu': 0.7361666666666667, 'pos': 0.19738888888888886, 'compound': 0.31751111111111113}"
Mansion of the Doomed ,"{'neg': 0.692, 'neu': 0.308, 'pos': 0.0, 'compound': -0.9048}"
Night Creature ,"{'neg': 0.06, 'neu': 0.6687647058823529, 'pos': 0.27117647058823524, 'compound': 0.24851176470588243}"
The Outlaw Josey Wales ,"{'neg': 0.06727272727272728, 'neu': 0.6894545454545454, 'pos': 0.24327272727272725, 'compound': 0.3901090909090909}"
Young Pioneers' Christmas ,"{'neg': 0.03048, 'neu': 0.6519999999999999, 'pos': 0.31751999999999997, 'compound': 0.356524}"
The Three Musketeers ,"{'neg': 0.10125925925925926, 'neu': 0.7802592592592591, 'pos': 0.1184814814814815, 'compound': 0.054933333333333334}"
Jaws ,"{'neg': 0.04915, 'neu': 0.8946000000000002, 'pos': 0.05626666666666667, 'compound': 0.0016049999999999973}"
Avalanche Express ,"{'neg': 0.043333333333333335, 'neu': 0.8506666666666667, 'pos': 0.10599999999999998, 'compound': 0.25781666666666664}"
