Retribution	2016	3.0	5	7.0	7.33333333333	7.66666666667	7.0	7	0.0015811965812	[('13-12-2015', 7), ('20-12-2015', 7), ('27-12-2015', 7), ('03-01-2016', 9), ('10-01-2016', 6), ('17-01-2016', 8), ('24-01-2016', 9), ('31-01-2016', 7), ('07-02-2016', 7), ('14-02-2016', 8), ('21-02-2016', 7), ('28-02-2016', 7)]
Cutthroat Kitchen	2013	8.0	11	0.0	2.66666666667	9.66666666667	39.0	10	2.44191919192	[('26-05-2013', 0), ('02-06-2013', 1), ('09-06-2013', 5), ('16-06-2013', 3), ('23-06-2013', 0), ('30-06-2013', 1), ('07-07-2013', 10), ('14-07-2013', 12), ('21-07-2013', 7), ('28-07-2013', 10), ('04-08-2013', 19), ('11-08-2013', 59)]
One Day	2016	9.0	1	73.0	68.3333333333	71.0	71.0	70	-0.00820050820051	[('12-06-2016', 73), ('19-06-2016', 70), ('26-06-2016', 69), ('03-07-2016', 69), ('10-07-2016', 67), ('17-07-2016', 68), ('24-07-2016', 70), ('31-07-2016', 73), ('07-08-2016', 70), ('14-08-2016', 70), ('21-08-2016', 69), ('28-08-2016', 73)]
Three Wise Monkeys	2015	10.0	31	63.0	66.6666666667	51.3333333333	37.0	53	-0.147731556291	[('09-08-2015', 63), ('16-08-2015', 39), ('23-08-2015', 54), ('30-08-2015', 88), ('06-09-2015', 58), ('13-09-2015', 47), ('20-09-2015', 46), ('27-09-2015', 61), ('04-10-2015', 47), ('11-10-2015', 61), ('18-10-2015', 36), ('25-10-2015', 38)]
The Life and Mind of Mark DeFriest	2014	6.0	13	20.0	6.66666666667	13.6666666667	28.0	14	0.418465190204	[('23-03-2014', 20), ('30-03-2014', 0), ('06-04-2014', 10), ('13-04-2014', 10), ('20-04-2014', 0), ('27-04-2014', 20), ('04-05-2014', 20), ('11-05-2014', 0), ('18-05-2014', 21), ('25-05-2014', 22), ('01-06-2014', 22), ('08-06-2014', 34)]
Nobody Can Cool	2015	4.0	10	0.0	3.66666666667	2.33333333333	5.5	3	1.44365079365	[('18-01-2015', 0), ('25-01-2015', 3), ('01-02-2015', 0), ('08-02-2015', 7), ('15-02-2015', 4), ('22-02-2015', 0), ('01-03-2015', 7), ('08-03-2015', 0), ('15-03-2015', 0), ('22-03-2015', 4), ('29-03-2015', 4), ('05-04-2015', 7)]
Departure	2016	6.0	28	76.0	76.0	80.3333333333	87.0	80	0.0460814231306	[('10-04-2016', 76), ('17-04-2016', 79), ('24-04-2016', 76), ('01-05-2016', 77), ('08-05-2016', 75), ('15-05-2016', 79), ('22-05-2016', 78), ('29-05-2016', 81), ('05-06-2016', 82), ('12-06-2016', 83), ('19-06-2016', 86), ('26-06-2016', 88)]
Bock Saga: Welcome to Altlantis	2016	9.0	22	0	0	0	0	0	0	[]
Abandoned	2016	9.0	2	87.0	78.6666666667	83.3333333333	80.0	81	-0.0252150851796	[('12-06-2016', 87), ('19-06-2016', 81), ('26-06-2016', 79), ('03-07-2016', 78), ('10-07-2016', 79), ('17-07-2016', 79), ('24-07-2016', 83), ('31-07-2016', 79), ('07-08-2016', 88), ('14-08-2016', 84), ('21-08-2016', 82), ('28-08-2016', 78)]
Morgana Robinson's the Agency	2016	9.0	26	0.0	0.0	0.0	50.0	8	16.6666666667	[('10-07-2016', 0), ('17-07-2016', 0), ('24-07-2016', 0), ('31-07-2016', 0), ('07-08-2016', 0), ('14-08-2016', 0), ('21-08-2016', 0), ('28-08-2016', 0), ('04-09-2016', 0), ('11-09-2016', 5), ('18-09-2016', 0), ('25-09-2016', 100)]
Budding Prospects	2017	3.0	17	2.0	0.666666666667	1.33333333333	18.0	4	2.36613756614	[('25-12-2016', 2), ('01-01-2017', 4), ('08-01-2017', 0), ('15-01-2017', 2), ('22-01-2017', 0), ('29-01-2017', 0), ('05-02-2017', 2), ('12-02-2017', 0), ('19-02-2017', 2), ('26-02-2017', 4), ('05-03-2017', 4), ('12-03-2017', 32)]
Lifeline	2016	5.0	6	29.0	27.3333333333	27.0	30.0	27	0.0132741985683	[('14-02-2016', 29), ('21-02-2016', 30), ('28-02-2016', 27), ('06-03-2016', 28), ('13-03-2016', 27), ('20-03-2016', 25), ('27-03-2016', 27), ('03-04-2016', 28), ('10-04-2016', 26), ('17-04-2016', 27), ('24-04-2016', 30), ('01-05-2016', 30)]
Warcraft: The Beginning	2016	6.0	10	1.0	2.33333333333	10.3333333333	84.0	24	3.18888888889	[('20-03-2016', 1), ('27-03-2016', 5), ('03-04-2016', 2), ('10-04-2016', 3), ('17-04-2016', 2), ('24-04-2016', 6), ('01-05-2016', 7), ('08-05-2016', 9), ('15-05-2016', 15), ('22-05-2016', 72), ('29-05-2016', 100), ('05-06-2016', 68)]
LEGO Jurassic World: The Indominus Escape	2016	10.0	3	0.0	7.33333333333	27.6666666667	50.5	17	3.52328165375	[('17-07-2016', 0), ('24-07-2016', 0), ('31-07-2016', 22), ('07-08-2016', 0), ('14-08-2016', 0), ('21-08-2016', 0), ('28-08-2016', 83), ('04-09-2016', 0), ('11-09-2016', 0), ('18-09-2016', 0), ('25-09-2016', 21), ('02-10-2016', 80)]
